ID,Treatment,Location,Colony,fvfm,alpha,etrM,ynpq,etr,zoox,chla.zoox,chl.zoox
1,C,N,1,-0.00025,-0.00875,-0.731805556,0.088333333,-0.874916667,73.83924895,19.80672088,31.31993778
2,C,N,2,-0.084555555,0.008777778,2.916,0.006111111,4.456333333,50.19947793,36.72720936,53.5376747
3,C,N,3,-0.195527778,-0.054527778,-13.25066667,-0.014333333,-13.18755556,96.50899669,11.06542163,17.47304818
4,C,N,4,-0.061666667,0.004,-8.324444444,-0.005111111,-8.912444444,41.2331313,18.14858299,27.15705388
5,C,S,5,0.021805556,0.011194445,12.69055556,-0.056888889,-2.376027778,115.1104303,9.297567884,12.27660208
6,C,S,6,0.043027778,-0.010222222,-0.781638889,-0.037555556,-0.781638889,81.09123012,20.33295963,30.38240133
7,C,S,7,0.044955556,-0.000866667,-1.589055556,-0.036,-0.102222222,85.9488128,22.17560064,29.36533064
8,C,S,8,0.028,0.016444445,9.942777778,-0.021222222,9.942777778,112.5759008,14.85782802,19.17923283
9,HS,N,3,-0.007291667,0.006208333,18.19729167,0.069166667,18.19729167,88.18469131,10.67698349,16.64936579
10,HT,S,6,-0.084,-0.079666667,-14.10283333,0.051666667,-14.10283333,154.4661441,18.4112753,26.06997291
11,HX,S,6,-0.054666667,-0.066,-12.14133333,-0.008666667,-12.14133333,75.08049944,24.06602938,35.05718642
12,HS,N,2,-0.137458334,-0.008083334,-4.082166667,0.173,-4.890666667,59.10068689,28.58925541,40.23166818
13,HT,S,7,0.021833334,-0.003166667,12.658,0.123166667,12.658,57.1462941,19.76017768,26.8497301
14,HX,S,7,-0.0245,0.009333333,10.47366667,-0.052333333,10.47366667,61.93210226,21.95939884,29.74056382
15,HS,N,1,-0.046333334,-0.019166667,0.5555,0.074666667,0.7615,90.23726673,18.34911872,28.63557805
16,HT,S,5,-0.087083334,-0.014875,-4.4265,0.006833333,-1.459333333,95.08714526,9.862189219,13.48395526
17,HX,S,5,-0.092666667,-0.006666667,-20.02283333,0.012166667,-20.02283333,78.15303527,15.43399707,21.24188189
18,HS,N,4,-0.0145,0.012333333,-5.562666667,0.0215,-5.461833333,70.47708279,11.43297188,17.28618718
19,HT,S,8,-0.034666667,-0.0175,-2.251166667,0.007333333,-2.251166667,106.7269839,9.729273932,13.49151857
20,HX,S,8,-0.046333333,-0.033,-16.1185,0.033,-16.1185,124.2878314,6.283727568,8.647713633
21,HS,S,6,-0.008375,-0.032666667,0.939,0.066,1.042375,106.6052004,19.9320248,27.9455229
22,HT,N,3,-0.032,-0.049,-9.419,0.1425,-9.419,78.44670504,10.99817657,18.51705395
23,HX,N,3,-0.012041667,-0.03625,-13.75433333,0.096833333,-13.75433333,140.8813238,11.61656112,16.68271724
24,HS,S,8,-0.046666667,0.007666667,5.713833333,0.007666667,5.713833333,95.84928521,15.21660482,21.27297295
25,HT,N,4,-0.0595,-0.046166667,-5.6095,-0.062,-5.6095,36.83161399,21.37853501,30.24260854
26,HX,N,4,-0.047583333,0.014208334,-2.32125,-0.022166667,-2.32125,22.85242002,43.84781873,66.96971179
27,HS,S,7,-0.007,-0.003833333,-6.0965,-0.018666667,-6.0965,52.82042826,26.90555912,36.35338849
28,HT,N,2,0.0035,-0.029,-2.653,0.018666667,-2.653,37.58877273,17.07581401,25.53103802
29,HX,N,2,-0.0475,0.0155,-10.1665,-0.022833333,-10.1665,33.71799125,29.79602517,42.47412392
30,HS,S,5,0.015,0.014833334,3.836666667,0.017333333,3.836666667,50.29531342,16.58707347,22.99454482
31,HT,N,1,-0.061,-0.107,-32.394375,0.024833333,-19.27316667,35.26844501,19.88698942,29.47560847
32,HX,N,1,-0.041,-0.016166667,-6.128333333,0.079666667,-6.128333333,93.23907729,16.47141622,24.37602703
