ID,Colony,Location,Treatment,Protein_new
1,1,NB,HS,0.926765851
2,1,NB,C,1.004542903
3,1,NB,HT,0.587452594
4,1,NB,HX,1.036102089
5,1,NB,H,0.619709952
6,2,NB,HS,0.701975464
7,2,NB,HT,0.767696745
8,2,NB,HX,0.622799832
9,2,NB,C,0.842876545
10,2,NB,H,0.742539837
11,3,NB,HT,0.80518887
12,3,NB,HX,0.844460169
13,3,NB,C,0.83650788
14,3,NB,HS,1.031796506
15,3,NB,H,0.671204795
16,4,NB,HT,1.035923938
17,4,NB,HS,1.371496976
18,4,NB,HX,0.768173546
19,4,NB,C,1.480930748
20,4,NB,H,1.523361212
21,5,SB,C,0.694563977
22,5,SB,HT,0.655411775
23,5,SB,HS,0.841707574
24,5,SB,HX,0.8854563
25,5,SB,H,1.267161177
26,6,SB,HT,0.755730455
27,6,SB,HS,0.822712625
28,6,SB,C,0.693267161
29,6,SB,HX,0.819908206
30,6,SB,H,0.82096645
31,7,SB,C,0.990920521
32,7,SB,HS,1.065155728
33,7,SB,HX,0.847865326
34,7,SB,HT,0.774355054
35,7,SB,H,0.826252161
36,8,SB,C,1.434907552
37,8,SB,HS,1.320363099
38,8,SB,HX,1.822473314
39,8,SB,HT,1.5854586
40,8,SB,H,1.38711447
