ID,Colony,Location,Treatment,Protein_new
1,1,NB,HS,0.926765851
2,1,NB,C,1.004542903
3,1,NB,HT,0.587452594
4,1,NB,HX,1.036102089
5,2,NB,HS,0.701975464
6,2,NB,HT,0.767696745
7,2,NB,HX,0.622799832
8,2,NB,C,0.842876545
9,3,NB,HT,0.80518887
10,3,NB,HX,0.844460169
11,3,NB,C,0.83650788
12,3,NB,HS,1.031796506
13,4,NB,HT,1.035923938
14,4,NB,HS,1.371496976
15,4,NB,HX,0.768173546
16,4,NB,C,1.480930748
17,5,SB,C,0.694563977
19,5,SB,HT,0.655411775
20,5,SB,HS,0.841707574
21,5,SB,HX,0.8854563
22,6,SB,HT,0.755730455
23,6,SB,HS,0.822712625
24,6,SB,C,0.693267161
25,6,SB,HX,0.819908206
26,7,SB,C,0.990920521
27,7,SB,HS,1.065155728
28,7,SB,HX,0.847865326
29,7,SB,HT,0.774355054
30,8,SB,C,1.434907552
31,8,SB,HS,1.320363099
32,8,SB,HX,1.822473314
33,8,SB,HT,1.5854586
