Colony,Sample,Location,Treatment,Zoox,Zoox_new,n,Zoox_use
1,1-1,NB,HS,844287.9161,902372.6673,2,90.23726673
1,1-2,NB,C,497186.5368,738392.4895,3,73.83924895
1,1-3,NB,C,570897.479,,,
1,1-4,NB,C,1147093.453,,,
1,1-5,NB,HT,553807.5293,352684.4501,2,35.26844501
1,1-6,NB,HS,960457.4185,,,
1,1-7,NB,HT,151561.3708,,,
1,1-8,NB,HX,1058846.087,932390.7729,2,93.23907729
1,1-9,NB,HX,805935.4591,,,
1,1-H,NB,H,1173941.116,,,117.3941116
2,2-1,NB,HS,258577.9495,591006.8689,2,59.10068689
2,2-2,NB,HT,450175.6215,375887.7273,2,37.58877273
2,2-3,NB,HX,482081.9178,337179.9125,2,33.71799125
2,2-4,NB,HT,301599.8332,,,
2,2-5,NB,C,492684.3618,501994.7793,3,50.19947793
2,2-6,NB,HX,192277.9071,,,
2,2-7,NB,C,233865.3746,,,
2,2-8,NB,C,779434.6015,,,
2,2-9,NB,HS,923435.7883,,,
2,2-H,NB,H,131782.0701,,,13.17820701
3,3-1,NB,HT,733463.8567,784467.0504,2,78.44670504
3,3-2,NB,HX,2006031.205,1408813.238,2,140.8813238
3,3-3,NB,C,1100167.431,965089.9669,,96.50899669
3,3-4,NB,C,1004060.72,,,
3,3-5,NB,HX,811595.2708,,,
3,3-6,NB,HS,896116.6921,881846.9131,2,88.18469131
3,3-7,NB,HT,835470.2442,,,
3,3-8,NB,HS,867577.1341,,,
3,3-9,NB,C,791041.7503,,,
3,3-H,NB,H,554767.7123,,,55.47677123
4,4-1,NB,HT,298511.0191,368316.1399,2,36.83161399
4,4-2,NB,HS,399996.6551,704770.8279,2,70.47708279
4,4-3,NB,HX,374704.9314,228524.2002,2,22.85242002
4,4-4,NB,HT,438121.2607,,,
4,4-5,NB,C,539448.639,412331.313,3,41.2331313
4,4-6,NB,C,216036.538,,,
4,4-7,NB,HS,1009545.001,,,
4,4-8,NB,HX,82343.46899,,,
4,4-9,NB,C,481508.7622,,,
4,4-H,NB,H,911465.7876,,,91.14657876
5,5-1,SB,C,1556715.961,1151104.303,3,115.1104303
5,5-2,SB,C,1178871.909,,,
5,5-3,SB,HT,1118627.432,950871.4526,2,95.08714526
5,5-4,SB,HT,783115.473,,,
5,5-5,SB,HS,474724.8648,502953.1342,2,50.29531342
5,5-6,SB,HS,531181.4037,,,
5,5-7,SB,HX,1056725.516,781530.3527,2,78.15303527
5,5-8,SB,HX,506335.1891,,,
5,5-9,SB,C,717725.0383,,,
5,5-H,SB,H,1511845.048,,,151.1845048
6,6-1,SB,HT,866894.3753,1544661.441,2,154.4661441
6,6-2,SB,HS,1577967.54,1066052.004,2,106.6052004
6,6-3,SB,HT,2222428.506,,,
6,6-4,SB,C,1158323.381,810912.3012,3,81.09123012
6,6-5,SB,HX,564286.9085,750804.9944,2,75.08049944
6,6-6,SB,HX,937323.0803,,,
6,6-7,SB,HS,554136.4674,,,
6,6-8,SB,C,863697.3512,,,
6,6-9,SB,C,410716.1717,,,
6,6-H,SB,H,1081715.561,,,108.1715561
7,7-1,SB,C,924788.4464,859488.128,,85.9488128
7,7-2,SB,HS,608978.6889,528204.2826,2,52.82042826
7,7-3,SB,HX,347665.0908,619321.0226,2,61.93210226
7,7-4,SB,C,1115224.698,,,
7,7-5,SB,C,538451.2396,,,
7,7-6,SB,HT,184932.9217,571462.941,2,57.1462941
7,7-7,SB,HX,890976.9544,,,
7,7-8,SB,HS,447429.8762,,,
7,7-9,SB,HT,957992.9603,,,
7,7-H,SB,H,497827.5406,,,49.78275406
8,8-1,SB,C,750815.6721,1125759.008,3,112.5759008
8,8-2,SB,C,1353823.337,,,
8,8-3,SB,HS,1320861.301,958492.8521,2,95.84928521
8,8-4,SB,HX,1589040.241,1242878.314,2,124.2878314
8,8-5,SB,HT,961823.9695,1067269.839,2,106.7269839
8,8-6,SB,HX,896716.3876,,,
8,8-7,SB,C,1272638.016,,,
8,8-8,SB,HT,1172715.709,,,
8,8-9,SB,HS,596124.4029,,,
8,8-H,SB,H,523949.0411,,,52.39490411
