ID,Colony,Location,Treatment,Zoox_new,n,Zoox_use
1,1,NB,HS,902372.6673,2,90.23726673
2,1,NB,C,738392.4895,3,73.83924895
3,1,NB,HT,352684.4501,2,35.26844501
4,1,NB,HX,932390.7729,2,93.23907729
5,1,NB,H,,,117.3941116
6,2,NB,HS,591006.8689,2,59.10068689
7,2,NB,HT,375887.7273,2,37.58877273
8,2,NB,HX,337179.9125,2,33.71799125
9,2,NB,C,501994.7793,3,50.19947793
10,2,NB,H,,,13.17820701
11,3,NB,HT,784467.0504,2,78.44670504
12,3,NB,HX,1408813.238,2,140.8813238
13,3,NB,C,965089.9669,,96.50899669
14,3,NB,HS,881846.9131,2,88.18469131
15,3,NB,H,,,55.47677123
16,4,NB,HT,368316.1399,2,36.83161399
17,4,NB,HS,704770.8279,2,70.47708279
18,4,NB,HX,228524.2002,2,22.85242002
19,4,NB,C,412331.313,3,41.2331313
20,4,NB,H,,,91.14657876
21,5,SB,C,1151104.303,3,115.1104303
22,5,SB,HT,950871.4526,2,95.08714526
23,5,SB,HS,502953.1342,2,50.29531342
24,5,SB,HX,781530.3527,2,78.15303527
25,5,SB,H,,,151.1845048
26,6,SB,HT,1544661.441,2,154.4661441
27,6,SB,HS,1066052.004,2,106.6052004
28,6,SB,C,810912.3012,3,81.09123012
29,6,SB,HX,750804.9944,2,75.08049944
30,6,SB,H,,,108.1715561
31,7,SB,C,859488.128,,85.9488128
32,7,SB,HS,528204.2826,2,52.82042826
33,7,SB,HX,619321.0226,2,61.93210226
34,7,SB,HT,571462.941,2,57.1462941
35,7,SB,H,,,49.78275406
36,8,SB,C,1125759.008,3,112.5759008
37,8,SB,HS,958492.8521,2,95.84928521
38,8,SB,HX,1242878.314,2,124.2878314
39,8,SB,HT,1067269.839,2,106.7269839
40,8,SB,H,,,52.39490411
