Experiment,Chamber,Treatment,Colony,Location,Sample ,FW
1,1,C,1,N,1,21.91641182
1,2,C,2,N,2,26.31578947
1,3,C,3,N,3,21.54046997
1,4,C,4,N,4,16.41883519
2,1,C,5,S,5,-17.10526316
2,2,C,6,S,6,-27.6203966
2,3,C,7,S,7,-23.26968974
2,4,C,8,S,8,-21.9941349
3,1,C,3,N,9,0.779220779
3,2,HS,3,N,10,-3.190519599
3,3,HT,6,S,11,7.396449704
3,4,HX,6,S,12,-14.93598862
4,1,C,2,N,13,3.488372093
4,2,HS,2,N,14,7.725321888
4,3,HT,7,S,15,0.539956803
4,4,HX,7,S,16,0.628930818
5,1,C,1,N,17,7.2
5,2,HS,1,N,18,-2.304147465
5,3,HT,5,S,19,-9.955752212
5,4,HX,5,S,20,-17.81737194
6,1,C,4,N,21,0.368731563
6,2,HS,4,N,22,2.782931354
6,3,HT,8,S,23,1.657458564
6,4,HX,8,S,24,6.806282723
7,1,C,6,S,25,-37.45791246
7,2,HS,6,S,26,16.39851485
7,3,HT,3,N,27,-15.39039039
7,4,HX,3,N,28,-8.801341157
8,1,C,8,S,29,-2.358490566
8,2,HS,8,S,30,2.915451895
8,3,HT,4,N,31,-4.892367906
8,4,HX,4,N,32,0
9,1,C,4,N,33,8.032128514
9,2,HS,4,N,34,2.96956199
9,3,HT,8,S,35,-3.615702479
9,4,HX,8,S,36,-3.461538462
10,1,C,3,N,37,-1.491053678
10,2,HS,3,N,38,0.710732054
10,3,HT,6,S,39,-2.388535032
10,4,HX,6,S,40,-0.784313725
11,1,C,7,S,41,-1.237623762
11,2,HS,7,S,42,2.068965517
11,3,HT,2,N,43,0
11,4,HX,2,N,44,-0.835654596
12,1,C,2,N,45,3.476245655
12,2,HS,2,N,46,4.173622705
12,3,HT,7,S,47,5.203816132
12,4,HX,7,S,48,6.072874494
13,1,C,5,S,49,1.84501845
13,2,HS,5,S,50,0.454132607
13,3,HT,1,N,51,0
13,4,HX,1,N,52,-0.720807304
14,1,C,1,N,53,0.679809653
14,2,HS,1,N,54,0.861326443
14,3,HT,5,S,55,0
14,4,HX,5,S,56,1.353179973
15,1,C,8,S,57,0
15,2,HS,8,S,58,1.278772379
15,3,HT,4,N,59,0.741289844
15,4,HX,4,N,60,1.813784764
16,1,C,6,S,61,1.113585746
16,2,HS,6,S,62,1.984126984
16,3,HT,3,N,63,1.068376068
16,4,HX,3,N,64,1.662510391
17,1,C,7,S,65,-0.525210084
17,2,HS,7,S,66,0.449236298
17,3,HT,2,N,67,-0.334448161
17,4,HX,2,N,68,0.301386377
18,1,C,5,S,69,5.37056928
18,2,HS,5,S,70,-2.159827214
18,3,HT,1,N,71,1.291989664
18,4,HX,1,N,72,4.079254079
