timepoint,mean_temp,se_temp,experiment
exposure-light,27.102187019542466,0.00019206649368350484,experiment 2 1
post-dark,27.109238703703703,0.0008491179937556209,experiment 2 1
pre-dark,27.005130905808002,0.0002425355439600115,experiment 2 1
pre-light,26.741135135135135,0.006201622158859218,experiment 2 1
exposure-light,27.095899326373292,0.00019203137580363043,experiment 3 1
post-dark,27.111367068682146,9.201469444036814e-05,experiment 3 1
pre-dark,27.143708720109263,0.00010571432116143359,experiment 3 1
pre-light,27.06080377884466,0.00055543795293748,experiment 3 1
exposure-light,27.175625501147135,0.0008683940508546206,experiment 4 1
post-dark,26.07265304217992,0.003807381313400415,experiment 4 1
pre-dark,27.97520027803522,0.0005827589683194602,experiment 4 1
pre-light,27.663496619422048,0.0017054834688185736,experiment 4 1
exposure-light,27.125565614002593,0.0001661785656693928,experiment 5 1
post-dark,27.105010046296293,9.774658634440754e-05,experiment 5 1
pre-dark,27.118004861111114,0.00017540098040522357,experiment 5 1
pre-light,26.97606380624016,0.0014437808382997657,experiment 5 1
exposure-light,27.102553680555552,0.0001350959639349421,experiment 6 1
post-dark,25.44583201388889,0.002570450825990948,experiment 6 1
pre-dark,27.12295039351852,0.00010594526214053887,experiment 6 1
pre-light,27.10381949787406,0.0005922649658570138,experiment 6 1
exposure-light,27.104969370745938,0.00020050719733477138,experiment 7 1
post-dark,25.486157939814817,0.0021817273836027135,experiment 7 1
pre-dark,27.14253171296296,0.00013213097756147106,experiment 7 1
pre-light,27.147188984375,0.0002151671390494099,experiment 7 1
exposure-light,27.056985875052103,0.00042894266153538157,experiment 8 1
post-dark,25.482240462962963,0.0022870251795533178,experiment 8 1
pre-dark,27.094540717592594,0.0003252611861309653,experiment 8 1
pre-light,27.107643117097513,0.00029477953070304884,experiment 8 1
exposure-light,27.089811805555552,0.00011731551487005819,experiment 9 1
post-dark,27.072362060185185,9.86521564338453e-05,experiment 9 1
pre-dark,27.095310462962964,0.00010338540825295426,experiment 9 1
pre-light,27.071091972067343,0.0005202686795226774,experiment 9 1
exposure-light,27.08026601851852,0.0002456511973917319,experiment 10 1
post-dark,25.704716273148147,0.002140413341431893,experiment 10 1
pre-dark,27.084940324074076,9.733776605195896e-05,experiment 10 1
pre-light,27.115346223146222,0.0011842772709711004,experiment 10 1
exposure-light,27.10571544000185,0.00017853749512072208,experiment 11 1
post-dark,25.521719398148146,0.0021064453728319834,experiment 11 1
pre-dark,27.108135694444446,0.00011198450690695698,experiment 11 1
pre-light,27.114576445435105,0.0009790192243351648,experiment 11 1
exposure-light,27.110520277777777,0.00018275169179680692,experiment 12 1
post-dark,25.54312847222222,0.0024581121117630447,experiment 12 1
pre-dark,27.114840717592593,0.00011674178150119609,experiment 12 1
pre-light,27.103177374451224,0.00020945688942189644,experiment 12 1
exposure-light,27.074516817518923,0.0001968953257158486,experiment 13 1
post-dark,25.40470710648148,0.0024183596199864772,experiment 13 1
pre-dark,27.120880995370367,0.00011042892917022135,experiment 13 1
pre-light,27.10798421904505,0.00040275168992369036,experiment 13 1
exposure-light,27.07714116067502,0.00021485558688832121,experiment 14 1
post-dark,25.736898449074076,0.002313673827461551,experiment 14 1
pre-dark,27.057711041666668,0.00012488113700919498,experiment 14 1
pre-light,27.064144654601904,0.00034678093404877846,experiment 14 1
exposure-light,27.078108958333335,0.0002017243136540432,experiment 15 1
post-dark,25.650369166666668,0.0022957750950617153,experiment 15 1
pre-dark,27.077473425925923,9.629704775071831e-05,experiment 15 1
pre-light,27.095058423594505,0.00028291114602706913,experiment 15 1
exposure-light,27.08420199541656,0.0001917363776909906,experiment 16 1
post-dark,25.755558703703702,0.002134133036929496,experiment 16 1
pre-dark,27.092145578703704,0.00013085764482200868,experiment 16 1
pre-light,27.07727224877069,0.00043384221890976205,experiment 16 1
exposure-light,27.060358796296295,0.0001604882685479744,experiment 17 1
post-dark,25.76737439814815,0.0024431809055746496,experiment 17 1
pre-dark,27.069872453703702,0.00011833643096868777,experiment 17 1
pre-light,27.089245170548626,0.0004729173068492955,experiment 17 1
exposure-light,27.06587653394087,0.0002896931834500158,experiment 18 1
post-dark,25.57060968100375,0.002690434905877841,experiment 18 1
pre-dark,27.082360016667437,0.0001298007595181687,experiment 18 1
pre-light,27.075409480389304,0.0002938239031595639,experiment 18 1
