Date,Chamber,Time,Phase,Temp,Salinity,DO ,pH,Light,Notes
29-Jun,1,07:50,Pre-Light,27.1,34.2,97.5,8.2,,
,2,,Pre-Light,27,34.9,103.7,8.22,,
,3,,Pre-Light,26.6,34.7,104.2,8.22,,
,4,,Pre-Light,23.6,35.95,99.7,8.19,,
,1,12:17,Pre-Light,27.1,34.13,102.1,8.2,277,277
,2,,Pre-Light,27.2,34.21,98.2,8.22,291,291
,3,,Pre-Light,27,34.24,101.7,8.21,283,283
,4,,Pre-Light,26.8,34.17,101.8,8.17,269,269
,1,13:50,Pre-Light,27.1,34.24,102.3,8.2,,
,2,,Pre-Light,26.9,34.3,100.1,8.22,,
,3,,Pre-Light,27.4,34.3,100.6,8.21,,
,4,,Pre-Light,27.1,34.22,98,8.16,,
,1,15:55,Pre-Light,27.1,34.6,105.4,8.19,283,283
,2,,Pre-Light,27,34.63,95.1,8.21,251,251
,3,,Pre-Light,26.9,34.65,100.2,8.21,258,258
,4,,Pre-Light,27,34.5,99.9,8.16,313,313
30-Jun,1,06:23,Pre-Light,27.1,34.17,102,8.22,,no light yet
,2,,Pre-Light,27.1,34.21,98.4,8.21,,start exp 1
,3,,Pre-Light,26.4,34.26,103.6,8.21,,
,4,,Pre-Light,26.8,34.06,102.4,8.06,,
,1,18:08,Pre-Light,26.6,34.68,101,8.14,254,end exp 1 - 254
,2,,Pre-Light,26.7,34.8,95.2,8.12,237,237
,3,,Pre-Light,26.6,34.84,99.5,8.12,230,230
,4,,Pre-Light,26.6,34.69,99.3,8.09,217,217
1-Jul,1,07:26,Pre-Light,27.1,35.12,98.4,8.15,,
,2,,Pre-Light,27.2,35.35,98.2,8.13,,
,3,,Pre-Light,27.1,35.3,100.8,8.18,,
,4,,Pre-Light,27.1,35.1,99.6,8.1,,
,1,14:59,Pre-Light,26.3,35.86,97.3,8.13,242,added 50mL DI - start exp 2 - 242
,2,,Pre-Light,26.1,35.85,102.8,8.12,255,255
,3,,Pre-Light,25.9,35.39,100.7,8.14,235,235
,4,,Pre-Light,26.8,36.3,102.9,8.13,263,263
2-Jul,1,07:26,Pre-Light,27.1,34.68,100.8,8.26,194,exp 2 - 194
,2,,Pre-Light,27.1,34.56,103.1,8.27,210,210
,3,,Pre-Light,27.2,34.57,99.9,8.26,196,196
,4,,Pre-Light,27.2,34.54,99.6,8.26,205,205
,1,19:54,Pre-Light,26.4,34.23,101,8.19,,end of exp 2
,2,,Pre-Light,26.7,34.16,100.2,8.17,,
,3,,Pre-Light,26.5,33.89,98.8,8.19,,
,4,,Pre-Light,27.2,33.8,101.6,8.17,,
3-Jul,1,07:45,Pre-Light,27.1,34.76,100.7,8.2,,
,2,,Pre-Light,27.1,34.58,101.5,8.18,,
,3,,Pre-Light,26.7,34.37,101.1,8.19,,
,4,,Pre-Light,27.3,34.24,103.3,8.16,,
4-Jul,1,10:51,Pre-Light,26.6,34.81,84.8,8.11,,
,2,,Pre-Light,26.8,32.81,90,8.09,,
,3,,Pre-Light,28,33.66,89.4,8.12,,
,4,,Pre-Light,28,34.33,83.5,8.1,,
,1,16:26,Pre-Light,27.1,33.79,99.7,8.2,,
,2,,Pre-Light,27.1,32.9,96.4,8.18,,
,3,,Pre-Light,28.8,33.91,95,8.19,,
,4,,Pre-Light,29,34.44,98.6,8.15,,
5-Jul,1,06:25,,27.1,34.1,101.2,8.22,135,start of exp 3 - 135
,2,,,27.1,33.3,99.1,8.22,165,165
,3,,,29.3,34.38,98.6,8.23,163,163
,4,,,29.8,34.84,102.9,8.2,143,143
6-Jul,1,12:34,,27.3,34.6,82.4,8.02,229,229
,2,12:52,,26.6,34.73,76.5,8.03,210,210
,3,13:33,,28.7,34.18,99.5,8,220,220
,4,13:33,,28.9,34.73,103.5,8.04,219,219
7-Jul,1,06:57,,27.6,34.51,97.2,8.17,,start of exp 4
,2,,,27.8,35.1,100,8.18,,added DI and sediment
,3,,,28.7,35.07,96.1,8.19,,
,4,,,28.7,35.34,104,8.15,,added DI with sediment
7-Jul,1,08:02,,27.7,33.48,100.2,8.14,,during exp 4
,2,,,27.5,32.19,99.6,8.09,,
,3,,,30.9,32.92,94.2,8.1,,
,4,,,31.2,33.44,99.2,8.06,,
11-Jul,1,10:53,,25.9,35.29,77.5,8.03,181,"start of exp 5, 181"
,2,,,25.8,35.58,72.5,8.07,205,205
,3,,,29,35.59,63.7,7.98,206,206
,4,,,29.8,35.09,70.1,7.96,198,198
11-Jul,1,12:30,,26.3,32.59,99.1,7.93,,
,2,,,26.7,32.98,105.7,7.92,,
,3,,,29.5,32.95,97.4,7.94,,
,4,,,29.7,31.91,99.5,7.89,,
