Sample,Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Chamber Volume (mL),Coral Dry Weight (g),Incubation Time (min),Gnet,Gnet2,Turbidity
W1S,1,1,1,C,1,3-Jan,NB,-151.2,450,15.7696,12,-184450.4616,245.9339489,
W3S,1,2,1,C,1,3-Jan,NB,-4.6,450,15.7696,12,-5611.588119,7.482117492,
W5S,1,3,1,C,1,3-Jan,NB,-5.2,450,15.7696,12,-6343.534395,8.45804586,
W7S,1,4,1,C,1,3-Jan,NB,1.8,450,15.7696,12,2195.838829,-2.927785106,
W9S,1,5,1,C,1,3-Jan,NB,3.8,450,15.7696,12,4635.65975,-6.180879667,
W11S,1,6,1,C,1,3-Jan,NB,1.3,450,15.7696,12,1585.883599,-2.114511465,
W13S,1,7,1,C,1,3-Jan,NB,-15.5,450,15.7696,12,-18908.61214,25.21148285,
W15S,1,8,1,C,1,3-Jan,NB,-6.4,450,15.7696,12,-7807.426948,10.4099026,
W17S,1,9,1,C,1,3-Jan,NB,-3.4,450,15.7696,12,-4147.695566,5.530260755,
W19S,1,10,1,C,1,3-Jan,NB,45.6,450,15.7696,12,55627.917,-74.17055601,
W21S,1,11,1,C,1,3-Jan,NB,2.8,450,15.7696,12,3415.74929,-4.554332386,
W23S,1,12,1,C,1,3-Jan,NB,17.7,450,15.7696,12,21592.41515,-28.78988687,
W1S,1,13,1,C,1,3-Jan,NB,-2,450,15.7696,12,-2439.820921,3.253094562,
W3S,1,14,1,C,1,3-Jan,NB,-3.9,450,15.7696,12,-4757.650796,6.343534395,
W5S,1,15,1,C,1,3-Jan,NB,-1,450,15.7696,12,-1219.910461,1.626547281,
W7S,1,16,1,C,1,3-Jan,NB,1.7,450,15.7696,12,2073.847783,-2.765130377,
W9S,1,17,1,C,1,3-Jan,NB,16.2,450,15.7696,12,19762.54946,-26.35006595,
W11S,1,18,1,C,1,3-Jan,NB,14.1,450,15.7696,12,17200.73749,-22.93431666,
W13S,1,19,1,C,1,3-Jan,NB,1.4,450,15.7696,12,1707.874645,-2.277166193,
W15S,1,20,1,C,1,3-Jan,NB,-7.6,450,15.7696,12,-9271.319501,12.36175933,
W17S,1,21,1,C,1,3-Jan,NB,-3.6,450,15.7696,12,-4391.677658,5.855570211,
W19S,1,22,1,C,1,3-Jan,NB,9.5,450,15.7696,12,11589.14938,-15.45219917,
W21S,1,23,1,C,1,3-Jan,NB,-5.3,450,15.7696,12,-6465.525441,8.620700588,
W23S,1,24,1,C,1,3-Jan,NB,-3.9,450,15.7696,12,-4757.650796,6.343534395,
W1S,1,25,1,C,1,3-Jan,NB,-8,450,15.7696,12,-9759.283685,13.01237825,
R1S,1,1,2,C,2,5-Feb,NB,-9.6,450,21.252,12,-8690.005647,11.5866742,
R3S,1,2,2,C,2,5-Feb,NB,-20.8,450,21.252,12,-18828.34557,25.10446076,
R5S,1,3,2,C,2,5-Feb,NB,-2.2,450,21.252,12,-1991.459627,2.655279503,
R7S,1,4,2,C,2,5-Feb,NB,-6.1,450,21.252,12,-5521.774421,7.362365895,
R9S,1,5,2,C,2,5-Feb,NB,-0.1,450,21.252,12,-90.52089215,0.120694523,
R11S,1,6,2,C,2,5-Feb,NB,-2.2,450,21.252,12,-1991.459627,2.655279503,
R13S,1,7,2,C,2,5-Feb,NB,6,450,21.252,12,5431.253529,-7.241671372,
R15S,1,8,2,C,2,5-Feb,NB,4.1,450,21.252,12,3711.356578,-4.948475438,
R17S,1,9,2,C,2,5-Feb,NB,-9.3,450,21.252,12,-8418.44297,11.22459063,
R19S,1,10,2,C,2,5-Feb,NB,44,450,21.252,12,39829.19255,-53.10559006,
R23S,1,12,2,C,2,5-Feb,NB,-18,450,21.252,12,-16293.76059,21.72501412,
R1S,1,13,2,C,2,5-Feb,NB,-0.5,450,21.252,12,-452.6044608,0.603472614,
R3S,1,14,2,C,2,5-Feb,NB,0.5,450,21.252,12,452.6044608,-0.603472614,
R5S,1,15,2,C,2,5-Feb,NB,-4.3,450,21.252,12,-3892.398363,5.189864483,
R7S,1,16,2,C,2,5-Feb,NB,7.7,450,21.252,12,6970.108696,-9.293478261,
R9S,1,17,2,C,2,5-Feb,NB,9.4,450,21.252,12,8508.963862,-11.34528515,
R11S,1,18,2,C,2,5-Feb,NB,0.5,450,21.252,12,452.6044608,-0.603472614,
R13S,1,19,2,C,2,5-Feb,NB,2.9,450,21.252,12,2625.105872,-3.500141163,
R15S,1,20,2,C,2,5-Feb,NB,3.7,450,21.252,12,3349.27301,-4.465697346,
R17S,1,21,2,C,2,5-Feb,NB,0.2,450,21.252,12,181.0417843,-0.241389046,
R19S,1,22,2,C,2,5-Feb,NB,3.4,450,21.252,12,3077.710333,-4.103613778,
R21S,1,23,2,C,2,5-Feb,NB,11.6,450,21.252,12,10500.42349,-14.00056465,
R23S,1,24,2,C,2,5-Feb,NB,-2.8,450,21.252,12,-2534.58498,3.37944664,
R1S,1,25,2,C,2,5-Feb,NB,-1.9,450,21.252,12,-1719.896951,2.293195935,
G1S,1,1,3,C,3,3-Mar,NB,-1.6,450,12.3046,12,-2501.503503,3.335338004,
G3S,1,2,3,C,3,3-Mar,NB,0.3,450,12.3046,12,469.0319068,-0.625375876,
G5S,1,3,3,C,3,3-Mar,NB,10.3,450,12.3046,12,16103.4288,-21.4712384,
G7S,1,4,3,C,3,3-Mar,NB,-31.4,450,12.3046,12,-49092.00624,65.45600832,
G9S,1,5,3,C,3,3-Mar,NB,6.4,450,12.3046,12,10006.01401,-13.34135201,
G11S,1,6,3,C,3,3-Mar,NB,-2.8,450,12.3046,12,-4377.63113,5.836841506,
G13S,1,7,3,C,3,3-Mar,NB,0.7,450,12.3046,12,1094.407782,-1.459210377,
G15S,1,8,3,C,3,3-Mar,NB,5,450,12.3046,12,7817.198446,-10.42293126,
G17S,1,9,3,C,3,3-Mar,NB,-3.4,450,12.3046,12,-5315.694943,7.087593258,
G19S,1,10,3,C,3,3-Mar,NB,3.3,450,12.3046,12,5159.350974,-6.879134633,
G21S,1,11,3,C,3,3-Mar,NB,-6.1,450,12.3046,12,-9536.982104,12.71597614,
G23S,1,12,3,C,3,3-Mar,NB,10.8,450,12.3046,12,16885.14864,-22.51353152,
G1S,1,13,3,C,3,3-Mar,NB,-6.1,450,12.3046,12,-9536.982104,12.71597614,
G3S,1,14,3,C,3,3-Mar,NB,-4.8,450,12.3046,12,-7504.510508,10.00601401,
G5S,1,15,3,C,3,3-Mar,NB,-11.9,450,12.3046,12,-18604.9323,24.8065764,
G7S,1,16,3,C,3,3-Mar,NB,7.1,450,12.3046,12,11100.42179,-14.80056239,
G9S,1,17,3,C,3,3-Mar,NB,-4.8,450,12.3046,12,-7504.510508,10.00601401,
G11S,1,18,3,C,3,3-Mar,NB,2.3,450,12.3046,12,3595.911285,-4.79454838,
G13S,1,19,3,C,3,3-Mar,NB,-6,450,12.3046,12,-9380.638135,12.50751751,
G15S,1,20,3,C,3,3-Mar,NB,-0.2,450,12.3046,12,-312.6879378,0.41691725,
G17S,1,21,3,C,3,3-Mar,NB,38.3,450,12.3046,12,59879.7401,-79.83965346,
G19S,1,22,3,C,3,3-Mar,NB,3.1,450,12.3046,12,4846.663037,-6.462217382,
G21S,1,23,3,C,3,3-Mar,NB,-3.3,450,12.3046,12,-5159.350974,6.879134633,
G23S,1,24,3,C,3,3-Mar,NB,2.7,450,12.3046,12,4221.287161,-5.628382881,
G1S,1,25,3,C,3,3-Mar,NB,4.7,450,12.3046,12,7348.166539,-9.797555386,
Y1S,1,1,4,C,4,9-Apr,NB,0,450,25.6718,12,0,0,
Y3S,1,2,4,C,4,9-Apr,NB,-11.7,450,25.6718,12,-8767.548438,11.69006458,
Y5S,1,3,4,C,4,9-Apr,NB,4,450,25.6718,12,2997.452458,-3.996603277,
Y7S,1,4,4,C,4,9-Apr,NB,3.1,450,25.6718,12,2323.025655,-3.097367539,
Y9S,1,5,4,C,4,9-Apr,NB,-3.8,450,25.6718,12,-2847.579835,3.796773113,
Y11S,1,6,4,C,4,9-Apr,NB,-9.9,450,25.6718,12,-7418.694832,9.89159311,
Y13S,1,7,4,C,4,9-Apr,NB,-9.3,450,25.6718,12,-6969.076964,9.292102618,
Y15S,1,8,4,C,4,9-Apr,NB,3.1,450,25.6718,12,2323.025655,-3.097367539,
Y17S,1,9,4,C,4,9-Apr,NB,-8,450,25.6718,12,-5994.904915,7.993206553,
Y19S,1,10,4,C,4,9-Apr,NB,37.1,450,25.6718,12,27801.37154,-37.06849539,
Y21S,1,11,4,C,4,9-Apr,NB,-0.3,450,25.6718,12,-224.8089343,0.299745246,
Y23S,1,12,4,C,4,9-Apr,NB,-7.5,450,25.6718,12,-5620.223358,7.493631144,
Y1S,1,13,4,C,4,9-Apr,NB,3.6,450,25.6718,12,2697.707212,-3.596942949,
Y3S,1,14,4,C,4,9-Apr,NB,-2.5,450,25.6718,12,-1873.407786,2.497877048,
Y5S,1,15,4,C,4,9-Apr,NB,10,450,25.6718,12,7493.631144,-9.991508192,
Y7S,1,16,4,C,4,9-Apr,NB,-2.7,450,25.6718,12,-2023.280409,2.697707212,
Y9S,1,17,4,C,4,9-Apr,NB,-13.4,450,25.6718,12,-10041.46573,13.38862098,
Y11S,1,18,4,C,4,9-Apr,NB,44.5,450,25.6718,12,33346.65859,-44.46221145,
Y13S,1,19,4,C,4,9-Apr,NB,-18.6,450,25.6718,12,-13938.15393,18.58420524,
Y15S,1,20,4,C,4,9-Apr,NB,1,450,25.6718,12,749.3631144,-0.999150819,
Y17S,1,21,4,C,4,9-Apr,NB,33.7,450,25.6718,12,25253.53695,-33.67138261,
Y19S,1,22,4,C,4,9-Apr,NB,16.9,450,25.6718,12,12664.23663,-16.88564884,
Y21S,1,23,4,C,4,9-Apr,NB,1.9,450,25.6718,12,1423.789917,-1.898386556,
Y23S,1,24,4,C,4,9-Apr,NB,-8.2,450,25.6718,12,-6144.777538,8.193036717,
Y1S,1,25,4,C,4,9-Apr,NB,-1.7,450,25.6718,12,-1273.917294,1.698556393,
W1S,2,1,1,C,5,9-May,SB,-34.8,450,22.6072,12,-29612.91093,39.48388124,
W3S,2,2,1,C,5,9-May,SB,-4.3,450,22.6072,12,-3659.066581,4.878755441,
W5S,2,3,1,C,5,9-May,SB,-14.4,450,22.6072,12,-12253.61832,16.33815776,
W7S,2,4,1,C,5,9-May,SB,-2.9,450,22.6072,12,-2467.742578,3.290323437,
W9S,2,5,1,C,5,9-May,SB,1.1,450,22.6072,12,936.040288,-1.248053717,
W11S,2,6,1,C,5,9-May,SB,-5.6,450,22.6072,12,-4765.296012,6.353728016,
W13S,2,7,1,C,5,9-May,SB,-1.9,450,22.6072,12,-1616.796861,2.155729148,
