Experiment,Timepoint,Chamber,Treatment,Colony,Coral,Location,delta_FTA,Turbidity,Gnet,Gnet2,mo2_turb_avg,mo2_turb
1,1,1,C,1,3-Jan,NB,-151.2,1.27,-184.4504616,14.75603693,0.24152166,0.293339072
1,2,1,C,1,3-Jan,NB,-4.6,1.7,-5.611588119,0.44892705,0.147262263,0.144213627
1,3,1,C,1,3-Jan,NB,-5.2,1.39,-6.343534395,0.507482752,0.9779534,0.449887963
1,4,1,C,1,3-Jan,NB,1.8,1.65,2.195838829,-0.175667106,0.369946157,0.42472897
1,5,1,C,1,3-Jan,NB,3.8,1.64,4.63565975,-0.37085278,0.657857013,0.722493172
1,6,1,C,1,3-Jan,NB,1.3,1.72,1.585883599,-0.126870688,0.159434797,0.245617279
1,7,1,C,1,3-Jan,NB,-15.5,2,-18.90861214,1.512688971,0.773150681,0.900430605
1,8,1,C,1,3-Jan,NB,-6.4,1.58,-7.807426948,0.624594156,0.971560882,1.035502557
1,9,1,C,1,3-Jan,NB,-3.4,1.57,-4.147695566,0.331815645,1.129043722,1.214235548
1,10,1,C,1,3-Jan,NB,45.6,1.92,55.627917,-4.45023336,0.89322554,1.184782868
1,11,1,C,1,3-Jan,NB,2.8,1.86,3.41574929,-0.273259943,0.182522341,0.251902336
1,12,1,C,1,3-Jan,NB,17.7,1.95,21.59241515,-1.727393212,0.8044713,0.91014111
1,13,1,C,1,3-Jan,NB,-2,2.32,-2.439820921,0.195185674,0.669449998,0.727607757
1,14,1,C,1,3-Jan,NB,-3.9,1.79,-4.757650796,0.380612064,0.652473491,0.678775744
1,15,1,C,1,3-Jan,NB,-1,1.8,-1.219910461,0.097592837,0.74508801,0.846106999
1,16,1,C,1,3-Jan,NB,1.7,1.7,2.073847783,-0.165907823,0.650692242,0.859476089
1,17,1,C,1,3-Jan,NB,16.2,1.8,19.76254946,-1.581003957,0.180466143,0.258965368
1,18,1,C,1,3-Jan,NB,14.1,1.87,17.20073749,-1.376059,0.098123307,0.213217444
