Coral,Treatment,Colony,Location,mean_Gnet,Temp,Sed
1-Aug,C,8,SB,0.628893231,C,C
1-Jul,C,7,SB,0.085380905,C,C
1-May,C,5,SB,0.122852159,C,C
2-Aug,C,8,SB,0.693567744,C,C
2-Jan,C,1,NB,-0.079469919,C,C
2-May,C,5,SB,-0.668180783,C,C
3-Jan,C,1,NB,0.392589366,C,C
3-Mar,C,3,NB,-0.0483245,C,C
4-Jan,C,1,NB,0.119858756,C,C
4-Jul,C,7,SB,0.064101027,C,C
4-Jun,C,6,SB,0.178594599,C,C
4-Mar,C,3,NB,1.75413338,C,C
5-Apr,C,4,NB,0.283529845,C,C
5-Feb,C,2,NB,-0.068795878,C,C
5-Jul,C,7,SB,0.02548661,C,C
6-Apr,C,4,NB,0.09122625,C,C
7-Aug,C,8,SB,0.421329707,C,C
7-Feb,C,2,NB,0.055583369,C,C
8-Feb,C,2,NB,0.04664021,C,C
8-Jun,C,6,SB,-0.354242268,C,C
9-Apr,C,4,NB,-0.188839509,C,C
9-Jun,C,6,SB,-5.639890909,C,C
9-Mar,C,3,NB,0.640577456,C,C
9-May,C,5,SB,0.355082628,C,C
1-Feb,HS,2,NB,0.057909392,C,H
1-Jan,HS,1,NB,-0.319337592,C,H
2-Apr,HS,4,NB,0.133676978,C,H
2-Jul,HS,7,SB,-0.225765931,C,H
2-Jun,HS,6,SB,0.08268672,C,H
3-Aug,HS,8,SB,-0.86779362,C,H
5-May,HS,5,SB,0.305684617,C,H
6-Jan,HS,1,NB,2.068375144,C,H
6-Mar,HS,3,NB,0.396004811,C,H
6-May,HS,5,SB,0.140003029,C,H
7-Apr,HS,4,NB,-0.134829366,C,H
7-Jun,HS,6,SB,0.085325025,C,H
8-Jul,HS,7,SB,0.187607036,C,H
8-Mar,HS,3,NB,0.089773472,C,H
9-Aug,HS,8,SB,-0.041073085,C,H
9-Feb,HS,2,NB,0.47904911,C,H
1-Apr,HT,4,NB,0.055684064,H,C
1-Jun,HT,6,SB,-0.623177843,H,C
1-Mar,HT,3,NB,0.377011602,H,C
2-Feb,HT,2,NB,0.750526685,H,C
3-Jun,HT,6,SB,4.529723376,H,C
3-May,HT,5,SB,0.016068207,H,C
4-Apr,HT,4,NB,0.108182852,H,C
4-Feb,HT,2,NB,-0.100893835,H,C
4-May,HT,5,SB,0.181096274,H,C
5-Aug,HT,8,SB,0.003899651,H,C
5-Jan,HT,1,NB,0.091798485,H,C
6-Jul,HT,7,SB,0.044677694,H,C
7-Jan,HT,1,NB,0.355224511,H,C
7-Mar,HT,3,NB,0.318989734,H,C
8-Aug,HT,8,SB,-0.020177785,H,C
9-Jul,HT,7,SB,0.061538583,H,C
2-Mar,HX,3,NB,0.529022013,H,H
3-Apr,HX,4,NB,-0.099660695,H,H
3-Feb,HX,2,NB,-0.019639801,H,H
3-Jul,HX,7,SB,0.136161526,H,H
4-Aug,HX,8,SB,-0.013869119,H,H
5-Jun,HX,6,SB,0.894286683,H,H
5-Mar,HX,3,NB,0.083458613,H,H
6-Aug,HX,8,SB,0.27229208,H,H
6-Feb,HX,2,NB,-0.11237678,H,H
6-Jun,HX,6,SB,-0.204534743,H,H
7-Jul,HX,7,SB,0.149609655,H,H
7-May,HX,5,SB,-0.240413455,H,H
8-Apr,HX,4,NB,-0.063713621,H,H
8-Jan,HX,1,NB,0.191165487,H,H
8-May,HX,5,SB,-0.342782218,H,H
9-Jan,HX,1,NB,0.144174142,H,H
