Date,Timepoint,Experiment,Chamber,Treatment,Colony,Coral,Location,Turbidity,delta_FTA,MO2
30-Jun,1,1,1,C,1,1-3,NB,1.2725,-151.2,
30-Jun,1,1,2,C,2,2-5,NB,1.1425,-9.6,
30-Jun,1,1,3,C,3,3-3,NB,1.22,-1.6,
30-Jun,1,1,4,C,4,4-9,NB,2.1925,0,
30-Jun,2,1,1,C,1,1-3,NB,1.695,-4.6,
30-Jun,2,1,2,C,2,2-5,NB,1.2625,-20.8,
30-Jun,2,1,3,C,3,3-3,NB,1.325,0.3,
30-Jun,2,1,4,C,4,4-9,NB,2.165,-11.7,
30-Jun,3,1,1,C,1,1-3,NB,1.385,-5.2,
30-Jun,3,1,2,C,2,2-5,NB,1.5475,-2.2,
30-Jun,3,1,3,C,3,3-3,NB,1.38,10.3,
30-Jun,3,1,4,C,4,4-9,NB,2.0325,4,
30-Jun,4,1,1,C,1,1-3,NB,1.65,1.8,
30-Jun,4,1,2,C,2,2-5,NB,1.74,-6.1,
30-Jun,4,1,3,C,3,3-3,NB,1.64,-31.4,
30-Jun,4,1,4,C,4,4-9,NB,2.7,3.1,
30-Jun,5,1,1,C,1,1-3,NB,1.64,3.8,
30-Jun,5,1,2,C,2,2-5,NB,1.5875,-0.1,
30-Jun,5,1,3,C,3,3-3,NB,1.555,6.4,
30-Jun,5,1,4,C,4,4-9,NB,2.42,-3.8,
30-Jun,6,1,1,C,1,1-3,NB,1.715,1.3,
30-Jun,6,1,2,C,2,2-5,NB,1.7625,-2.2,
30-Jun,6,1,3,C,3,3-3,NB,1.7175,-2.8,
30-Jun,6,1,4,C,4,4-9,NB,2.1825,-9.9,
30-Jun,7,1,1,C,1,1-3,NB,1.995,-15.5,
30-Jun,7,1,2,C,2,2-5,NB,1.9325,6,
30-Jun,7,1,3,C,3,3-3,NB,1.5175,0.7,
30-Jun,7,1,4,C,4,4-9,NB,2.2475,-9.3,
30-Jun,8,1,1,C,1,1-3,NB,1.5775,-6.4,
30-Jun,8,1,2,C,2,2-5,NB,1.395,4.1,
30-Jun,8,1,3,C,3,3-3,NB,1.405,5,
30-Jun,8,1,4,C,4,4-9,NB,2.31,3.1,
30-Jun,9,1,1,C,1,1-3,NB,1.5675,-3.4,
30-Jun,9,1,2,C,2,2-5,NB,2.06,-9.3,
30-Jun,9,1,3,C,3,3-3,NB,1.865,-3.4,
30-Jun,9,1,4,C,4,4-9,NB,2.1875,-8,
30-Jun,10,1,1,C,1,1-3,NB,1.9175,45.6,
30-Jun,10,1,2,C,2,2-5,NB,1.9125,44,
30-Jun,10,1,3,C,3,3-3,NB,1.275,3.3,
30-Jun,10,1,4,C,4,4-9,NB,1.74,37.1,
30-Jun,11,1,1,C,1,1-3,NB,1.8575,2.8,
30-Jun,11,1,2,C,2,2-5,NB,1.43,NA,
30-Jun,11,1,3,C,3,3-3,NB,1.5125,-6.1,
30-Jun,11,1,4,C,4,4-9,NB,2.305,-0.3,
30-Jun,12,1,1,C,1,1-3,NB,1.95,17.7,
30-Jun,12,1,2,C,2,2-5,NB,1.91,-18,
30-Jun,12,1,3,C,3,3-3,NB,1.5225,10.8,
30-Jun,12,1,4,C,4,4-9,NB,1.8625,-7.5,
30-Jun,13,1,1,C,1,1-3,NB,2.3175,-2,
30-Jun,13,1,2,C,2,2-5,NB,1.69,-0.5,
30-Jun,13,1,3,C,3,3-3,NB,1.3025,-6.1,
30-Jun,13,1,4,C,4,4-9,NB,2.0525,3.6,
30-Jun,14,1,1,C,1,1-3,NB,1.7875,-3.9,
30-Jun,14,1,2,C,2,2-5,NB,1.7475,0.5,
30-Jun,14,1,3,C,3,3-3,NB,1.2475,-4.8,
30-Jun,14,1,4,C,4,4-9,NB,1.9975,-2.5,
30-Jun,15,1,1,C,1,1-3,NB,1.8,-1,
30-Jun,15,1,2,C,2,2-5,NB,1.34,-4.3,
30-Jun,15,1,3,C,3,3-3,NB,1.5825,-11.9,
30-Jun,15,1,4,C,4,4-9,NB,1.815,10,
30-Jun,16,1,1,C,1,1-3,NB,1.695,1.7,
30-Jun,16,1,2,C,2,2-5,NB,1.6825,7.7,
30-Jun,16,1,3,C,3,3-3,NB,1.4125,7.1,
30-Jun,16,1,4,C,4,4-9,NB,1.7925,-2.7,
30-Jun,17,1,1,C,1,1-3,NB,1.8025,16.2,
30-Jun,17,1,2,C,2,2-5,NB,1.79,9.4,
30-Jun,17,1,3,C,3,3-3,NB,2.805,-4.8,
30-Jun,17,1,4,C,4,4-9,NB,2.4175,-13.4,
30-Jun,18,1,1,C,1,1-3,NB,1.8725,14.1,
30-Jun,18,1,2,C,2,2-5,NB,1.61,0.5,
30-Jun,18,1,3,C,3,3-3,NB,2.9625,2.3,
30-Jun,18,1,4,C,4,4-9,NB,2.0525,44.5,
30-Jun,19,1,1,C,1,1-3,NB,2.29,1.4,
30-Jun,19,1,2,C,2,2-5,NB,2.1625,2.9,
30-Jun,19,1,3,C,3,3-3,NB,3.8125,-6,
30-Jun,19,1,4,C,4,4-9,NB,2.1925,-18.6,
30-Jun,20,1,1,C,1,1-3,NB,3.0875,-7.6,
30-Jun,20,1,2,C,2,2-5,NB,1.7175,3.7,
30-Jun,20,1,3,C,3,3-3,NB,3.57,-0.2,
30-Jun,20,1,4,C,4,4-9,NB,3.15,1,
30-Jun,21,1,1,C,1,1-3,NB,2.865,-3.6,
30-Jun,21,1,2,C,2,2-5,NB,1.38,0.2,
30-Jun,21,1,3,C,3,3-3,NB,3.035,38.3,
30-Jun,21,1,4,C,4,4-9,NB,2.29,33.7,
30-Jun,22,1,1,C,1,1-3,NB,2.165,9.5,
30-Jun,22,1,2,C,2,2-5,NB,1.27,3.4,
30-Jun,22,1,3,C,3,3-3,NB,3.15,3.1,
30-Jun,22,1,4,C,4,4-9,NB,2.1825,16.9,
2-Jul,1,2,1,C,5,5-9,SB,2.3475,-34.8,
2-Jul,1,2,2,C,6,6-4,SB,1.3975,-20.3,
2-Jul,1,2,3,C,7,7-4,SB,2.7475,-11.9,
2-Jul,1,2,4,C,8,8-2,SB,2.2775,2.5,
2-Jul,2,2,1,C,5,5-9,SB,1.135,-4.3,
2-Jul,2,2,2,C,6,6-4,SB,1.1375,7.2,
2-Jul,2,2,3,C,7,7-4,SB,1.4875,-3.3,
2-Jul,2,2,4,C,8,8-2,SB,1.315,-3.2,
2-Jul,3,2,1,C,5,5-9,SB,0.725,-14.4,
2-Jul,3,2,2,C,6,6-4,SB,1.3225,-1.6,
2-Jul,3,2,3,C,7,7-4,SB,2.0725,2.5,
2-Jul,3,2,4,C,8,8-2,SB,1.3975,-2.8,
2-Jul,4,2,1,C,5,5-9,SB,1.035,-2.9,
2-Jul,4,2,2,C,6,6-4,SB,1.13,-1.1,
2-Jul,4,2,3,C,7,7-4,SB,1.53,0,
2-Jul,4,2,4,C,8,8-2,SB,1.0725,1,
2-Jul,5,2,1,C,5,5-9,SB,0.9375,1.1,
2-Jul,5,2,2,C,6,6-4,SB,1.3675,4.9,
2-Jul,5,2,3,C,7,7-4,SB,2.095,-1.4,
2-Jul,5,2,4,C,8,8-2,SB,1.005,5.6,
2-Jul,6,2,1,C,5,5-9,SB,0.9575,-5.6,
2-Jul,6,2,2,C,6,6-4,SB,1.73,-7.9,
2-Jul,6,2,3,C,7,7-4,SB,1.9725,7.1,
2-Jul,6,2,4,C,8,8-2,SB,1.3675,-0.6,
2-Jul,7,2,1,C,5,5-9,SB,1.0675,-1.9,
2-Jul,7,2,2,C,6,6-4,SB,1.625,32.2,
2-Jul,7,2,3,C,7,7-4,SB,1.6625,3.4,
2-Jul,7,2,4,C,8,8-2,SB,1.3525,-17.6,
2-Jul,8,2,1,C,5,5-9,SB,1.8225,2.2,
2-Jul,8,2,2,C,6,6-4,SB,1.7725,3.1,
2-Jul,8,2,3,C,7,7-4,SB,2.135,6.6,
2-Jul,8,2,4,C,8,8-2,SB,1.57,0.1,
2-Jul,9,2,1,C,5,5-9,SB,1.7,3.7,
2-Jul,9,2,2,C,6,6-4,SB,1.3325,-7.4,
2-Jul,9,2,3,C,7,7-4,SB,2.235,2,
2-Jul,9,2,4,C,8,8-2,SB,2.1725,-4.3,
2-Jul,10,2,1,C,5,5-9,SB,1.865,-7.7,
2-Jul,10,2,2,C,6,6-4,SB,1.915,8.2,
2-Jul,10,2,3,C,7,7-4,SB,2.755,4.4,
2-Jul,10,2,4,C,8,8-2,SB,1.15,6.3,
2-Jul,11,2,1,C,5,5-9,SB,1.1075,9.5,
2-Jul,11,2,2,C,6,6-4,SB,1.4225,-2.7,
2-Jul,11,2,3,C,7,7-4,SB,2.1375,-7,
2-Jul,11,2,4,C,8,8-2,SB,1.3825,-2.6,
2-Jul,12,2,1,C,5,5-9,SB,0.6625,-4.5,
2-Jul,12,2,2,C,6,6-4,SB,0.79,11.8,
2-Jul,12,2,3,C,7,7-4,SB,1.3175,-0.1,
2-Jul,12,2,4,C,8,8-2,SB,0.7075,8.2,
2-Jul,13,2,1,C,5,5-9,SB,0.93,-24.9,
2-Jul,13,2,2,C,6,6-4,SB,0.8575,-2.3,
2-Jul,13,2,3,C,7,7-4,SB,0.8475,-0.2,
2-Jul,13,2,4,C,8,8-2,SB,0.5875,-5.4,
2-Jul,14,2,1,C,5,5-9,SB,0.68,11.1,
2-Jul,14,2,2,C,6,6-4,SB,1.06,6.6,
2-Jul,14,2,3,C,7,7-4,SB,1.5325,-7.8,
2-Jul,14,2,4,C,8,8-2,SB,0.6825,2.9,
2-Jul,15,2,1,C,5,5-9,SB,0.78,1.7,
2-Jul,15,2,2,C,6,6-4,SB,0.895,-31.6,
2-Jul,15,2,3,C,7,7-4,SB,1.543333333,0.2,
2-Jul,15,2,4,C,8,8-2,SB,0.6575,-8.5,
2-Jul,16,2,1,C,5,5-9,SB,0.915,14.6,
2-Jul,16,2,2,C,6,6-4,SB,0.865,39.3,
2-Jul,16,2,3,C,7,7-4,SB,1.415,-0.8,
2-Jul,16,2,4,C,8,8-2,SB,0.8675,-37.8,
2-Jul,17,2,1,C,5,5-9,SB,0.8125,-0.4,
2-Jul,17,2,2,C,6,6-4,SB,0.9375,-5.6,
2-Jul,17,2,3,C,7,7-4,SB,1.2775,3.5,
2-Jul,17,2,4,C,8,8-2,SB,0.635,-1.9,
2-Jul,18,2,1,C,5,5-9,SB,0.8025,-5.6,
2-Jul,18,2,2,C,6,6-4,SB,1.495,-3.6,
2-Jul,18,3,3,C,7,7-4,SB,NA,-2.9,
2-Jul,18,2,4,C,8,8-2,SB,0.9325,-17.9,
2-Jul,19,2,1,C,5,5-9,SB,0.81,-8.4,
2-Jul,19,2,2,C,6,6-4,SB,0.875,-29.2,
2-Jul,19,2,3,C,7,7-4,SB,1.8625,-0.2,
2-Jul,19,2,4,C,8,8-2,SB,0.5975,-10.3,
2-Jul,20,2,1,C,5,5-9,SB,0.9125,4.8,
2-Jul,20,2,2,C,6,6-4,SB,0.9075,-3.2,
2-Jul,20,2,3,C,7,7-4,SB,1.6125,-1.3,
2-Jul,20,2,4,C,8,8-2,SB,0.75,1.9,
2-Jul,21,2,1,C,5,5-9,SB,0.8975,8.7,
2-Jul,21,2,2,C,6,6-4,SB,0.995,6.6,
2-Jul,21,2,3,C,7,7-4,SB,1.565,5.2,
2-Jul,21,2,4,C,8,8-2,SB,0.6975,12.1,
2-Jul,22,2,1,C,5,5-9,SB,0.895,7.8,
2-Jul,22,2,2,C,6,6-4,SB,0.895,-27.2,
2-Jul,22,2,3,C,7,7-4,SB,1.5475,-13.5,
2-Jul,22,2,4,C,8,8-2,SB,0.51,-12.7,
2-Jul,23,2,1,C,5,5-9,SB,0.6375,-81.2,
2-Jul,23,2,2,C,6,6-4,SB,0.7825,-9.8,
2-Jul,23,2,3,C,7,7-4,SB,1.5425,2.6,
2-Jul,23,2,4,C,8,8-2,SB,0.5525,-0.8,
2-Jul,24,2,1,C,5,5-9,SB,0.6075,1.6,
2-Jul,24,2,2,C,6,6-4,SB,0.8025,8.8,
2-Jul,24,2,3,C,7,7-4,SB,1.5125,0.6,
2-Jul,24,2,4,C,8,8-2,SB,0.675,NA,
2-Jul,25,2,1,C,5,5-9,SB,0.685,-0.6,
2-Jul,25,2,2,C,6,6-4,SB,0.8375,-5,
2-Jul,25,2,3,C,7,7-4,SB,1.845,-11,
2-Jul,25,2,4,C,8,8-2,SB,0.745,-22.8,
5-Jul,1,3,1,C,3,3-4,NB,0.875,-829.2,
5-Jul,1,3,2,HS,3,3-8,NB,0.605,-5,
5-Jul,1,3,3,HT,6,6-1,SB,0.955,-3.4,
