Experiment,Colony,Location,Treatment,Temp,Sed,Chamber,Day,Time,rsq,mo2
1,1,NB,C,C,C,1,Day2,1,0.349,0.189704247
1,1,NB,C,C,C,1,Day2,2,0.558,0.293339072
1,1,NB,C,C,C,1,Day2,3,0.221,0.150310898
1,1,NB,C,C,C,1,Day2,4,0.228,0.144213627
1,1,NB,C,C,C,1,Day2,5,0.754,1.506018837
1,1,NB,C,C,C,1,Day2,6,0.728,0.449887963
1,1,NB,C,C,C,1,Day2,7,0.539,0.315163343
1,1,NB,C,C,C,1,Day2,8,0.711,0.42472897
1,1,NB,C,C,C,1,Day2,9,0.819,0.593220853
1,1,NB,C,C,C,1,Day2,10,0.87,0.722493172
1,1,NB,C,C,C,1,Day2,11,0.0788,0.073252315
1,1,NB,C,C,C,1,Day2,12,0.44,0.245617279
1,1,NB,C,C,C,1,Day2,13,0.842,0.645870756
1,1,NB,C,C,C,1,Day2,14,0.92,0.900430605
1,1,NB,C,C,C,1,Day2,15,0.931,0.907619207
1,1,NB,C,C,C,1,Day2,16,0.932,1.035502557
1,1,NB,C,C,C,1,Day2,17,0.942,1.043851895
1,1,NB,C,C,C,1,Day2,18,0.956,1.214235548
1,1,NB,C,C,C,1,Day2,19,0.829,0.601668211
1,1,NB,C,C,C,1,Day2,20,0.958,1.184782868
1,1,NB,C,C,C,1,Day2,21,0.153,0.113142346
1,1,NB,C,C,C,1,Day2,22,0.42,0.251902336
1,1,NB,C,C,C,1,Day2,23,0.866,0.698801489
1,1,NB,C,C,C,1,Day2,24,0.912,0.91014111
1,1,NB,C,C,C,1,Day2,25,0.798,0.611292239
1,1,NB,C,C,C,1,Day2,26,0.87,0.727607757
1,1,NB,C,C,C,1,Day2,27,0.79,0.626171238
1,1,NB,C,C,C,1,Day2,28,0.84,0.678775744
1,1,NB,C,C,C,1,Day2,29,0.838,0.64406902
1,1,NB,C,C,C,1,Day2,30,0.9,0.846106999
1,1,NB,C,C,C,1,Day2,31,0.694,0.441908395
1,1,NB,C,C,C,1,Day2,32,0.902,0.859476089
1,1,NB,C,C,C,1,Day2,33,0.142,0.101966918
1,1,NB,C,C,C,1,Day2,34,0.498,0.258965368
1,1,NB,C,C,C,1,Day2,35,0.00373,-0.01697083
1,1,NB,C,C,C,1,Day2,36,0.37,0.213217444
1,1,NB,C,C,C,1,Day2,37,0.167,0.129501219
1,1,NB,C,C,C,1,Day2,38,0.321,0.180087881
1,1,NB,C,C,C,1,Day2,39,0.761,0.557610329
1,1,NB,C,C,C,1,Day2,40,0.318,0.18752668
1,1,NB,C,C,C,1,Day2,41,0.711,0.401500668
1,1,NB,C,C,C,1,Day2,42,0.777,0.577664377
1,1,NB,C,C,C,1,Day2,43,0.444,0.275207461
1,1,NB,C,C,C,1,Day2,44,0.659,0.403327786
1,1,NB,C,C,C,1,Day2,45,0.182,0.130948635
1,1,NB,C,C,C,1,Day2,46,0.0668,0.074238034
1,1,NB,C,C,C,1,Day2,47,0.016,0.169432986
1,1,NB,C,C,C,1,Day2,48,0.0241,0.036799551
1,1,NB,C,C,C,1,Day2,49,0.0751,0.07624812
1,1,NB,C,C,C,1,Day2,50,0.254,0.150622749
1,1,NB,C,C,C,1,Day2,51,0.0631,-0.07356415
1,2,NB,C,C,C,2,Day2,1,0.677,0.372386039
1,2,NB,C,C,C,2,Day2,2,0.675,0.286045849
1,2,NB,C,C,C,2,Day2,3,0.886,0.538006833
1,2,NB,C,C,C,2,Day2,4,0.873,0.476783763
1,2,NB,C,C,C,2,Day2,5,0.937,0.951369048
1,2,NB,C,C,C,2,Day2,6,0.916,0.581348615
1,2,NB,C,C,C,2,Day2,7,0.939,0.74875336
1,2,NB,C,C,C,2,Day2,8,0.959,0.802930693
1,2,NB,C,C,C,2,Day2,9,0.967,0.899349267
1,2,NB,C,C,C,2,Day2,10,0.983,1.244381675
1,2,NB,C,C,C,2,Day2,11,0.87,0.656660421
1,2,NB,C,C,C,2,Day2,12,0.943,0.735528559
1,2,NB,C,C,C,2,Day2,13,0.954,0.978032918
1,2,NB,C,C,C,2,Day2,14,0.968,1.052986236
1,2,NB,C,C,C,2,Day2,15,0.958,1.033728434
1,2,NB,C,C,C,2,Day2,16,0.961,0.944905921
1,2,NB,C,C,C,2,Day2,17,0.931,0.848159548
1,2,NB,C,C,C,2,Day2,18,0.945,0.851561382
1,2,NB,C,C,C,2,Day2,19,0.925,0.669572913
1,2,NB,C,C,C,2,Day2,20,0.936,0.814566685
1,2,NB,C,C,C,2,Day2,21,0.904,0.768529116
1,2,NB,C,C,C,2,Day2,22,0.888,0.702976297
1,2,NB,C,C,C,2,Day2,23,0.866,0.71333048
1,2,NB,C,C,C,2,Day2,24,0.882,0.666462132
1,2,NB,C,C,C,2,Day2,25,0.878,0.773379205
1,2,NB,C,C,C,2,Day2,26,0.906,0.768946307
1,2,NB,C,C,C,2,Day2,27,0.937,0.978989687
1,2,NB,C,C,C,2,Day2,28,0.913,0.794793818
1,2,NB,C,C,C,2,Day2,29,0.82,0.613727043
1,2,NB,C,C,C,2,Day2,30,0.86,0.592679857
1,2,NB,C,C,C,2,Day2,31,0.846,0.541997508
1,2,NB,C,C,C,2,Day2,32,0.816,0.549025923
1,2,NB,C,C,C,2,Day2,33,0.0119,0.018311535
1,2,NB,C,C,C,2,Day2,34,0.373,0.146499116
1,2,NB,C,C,C,2,Day2,35,0.722,0.359884366
1,2,NB,C,C,C,2,Day2,36,0.793,0.400643784
1,2,NB,C,C,C,2,Day2,37,0.79,0.397073912
1,2,NB,C,C,C,2,Day2,38,0.578,0.236175826
1,2,NB,C,C,C,2,Day2,39,0.648,0.255981927
1,2,NB,C,C,C,2,Day2,40,0.63,0.268515544
1,2,NB,C,C,C,2,Day2,41,0.59,0.275436049
1,2,NB,C,C,C,2,Day2,42,0.666,0.281783613
1,2,NB,C,C,C,2,Day2,43,0.607,0.294085859
1,2,NB,C,C,C,2,Day2,44,0.831,0.424215059
1,2,NB,C,C,C,2,Day2,45,0.128,0.083197828
