Experiment,Colony,Coral,Location,Treatment,Chamber,Day,Time,rsq,mo2,mo2_turb_avg,mo2_turb
1,1,3-Jan,NB,C,1,Day2,1,0.349,0.189704247,,
1,1,3-Jan,NB,C,1,Day2,2,0.558,0.293339072,0.24152166,0.293339072
1,1,3-Jan,NB,C,1,Day2,3,0.221,0.150310898,,
1,1,3-Jan,NB,C,1,Day2,4,0.228,0.144213627,0.147262263,0.144213627
1,1,3-Jan,NB,C,1,Day2,5,0.754,1.506018837,,
1,1,3-Jan,NB,C,1,Day2,6,0.728,0.449887963,0.9779534,0.449887963
1,1,3-Jan,NB,C,1,Day2,7,0.539,0.315163343,,
1,1,3-Jan,NB,C,1,Day2,8,0.711,0.42472897,0.369946157,0.42472897
1,1,3-Jan,NB,C,1,Day2,9,0.819,0.593220853,,
1,1,3-Jan,NB,C,1,Day2,10,0.87,0.722493172,0.657857013,0.722493172
1,1,3-Jan,NB,C,1,Day2,11,0.0788,0.073252315,,
1,1,3-Jan,NB,C,1,Day2,12,0.44,0.245617279,0.159434797,0.245617279
1,1,3-Jan,NB,C,1,Day2,13,0.842,0.645870756,,
1,1,3-Jan,NB,C,1,Day2,14,0.92,0.900430605,0.773150681,0.900430605
1,1,3-Jan,NB,C,1,Day2,15,0.931,0.907619207,,
1,1,3-Jan,NB,C,1,Day2,16,0.932,1.035502557,0.971560882,1.035502557
1,1,3-Jan,NB,C,1,Day2,17,0.942,1.043851895,,
1,1,3-Jan,NB,C,1,Day2,18,0.956,1.214235548,1.129043722,1.214235548
1,1,3-Jan,NB,C,1,Day2,19,0.829,0.601668211,,
1,1,3-Jan,NB,C,1,Day2,20,0.958,1.184782868,0.89322554,1.184782868
1,1,3-Jan,NB,C,1,Day2,21,0.153,0.113142346,,
1,1,3-Jan,NB,C,1,Day2,22,0.42,0.251902336,0.182522341,0.251902336
1,1,3-Jan,NB,C,1,Day2,23,0.866,0.698801489,,
1,1,3-Jan,NB,C,1,Day2,24,0.912,0.91014111,0.8044713,0.91014111
1,1,3-Jan,NB,C,1,Day2,25,0.798,0.611292239,,
1,1,3-Jan,NB,C,1,Day2,26,0.87,0.727607757,0.669449998,0.727607757
1,1,3-Jan,NB,C,1,Day2,27,0.79,0.626171238,,
1,1,3-Jan,NB,C,1,Day2,28,0.84,0.678775744,0.652473491,0.678775744
1,1,3-Jan,NB,C,1,Day2,29,0.838,0.64406902,,
1,1,3-Jan,NB,C,1,Day2,30,0.9,0.846106999,0.74508801,0.846106999
1,1,3-Jan,NB,C,1,Day2,31,0.694,0.441908395,,
1,1,3-Jan,NB,C,1,Day2,32,0.902,0.859476089,0.650692242,0.859476089
1,1,3-Jan,NB,C,1,Day2,33,0.142,0.101966918,,
