Experiment,Colony,Coral,Location,Treatment,Chamber,Day,Time,rsq,mo2
1,1,3-Jan,NB,C,1,DAY1,1,0.853,1.116091899
1,1,3-Jan,NB,C,1,DAY1,2,0.92,1.165645787
1,1,3-Jan,NB,C,1,DAY1,3,0.96,1.43979008
1,1,3-Jan,NB,C,1,DAY1,4,0.981,2.090145008
1,1,3-Jan,NB,C,1,DAY1,5,0.977,2.145939533
1,1,3-Jan,NB,C,1,DAY1,6,0.98,2.094726562
1,1,3-Jan,NB,C,1,DAY1,7,0.978,2.060698853
1,1,3-Jan,NB,C,1,DAY1,8,0.973,1.886621327
1,1,3-Jan,NB,C,1,DAY1,9,0.966,1.70482327
1,1,3-Jan,NB,C,1,DAY1,10,0.968,1.850684351
1,1,3-Jan,NB,C,1,DAY1,11,0.948,1.495239489
1,1,3-Jan,NB,C,1,DAY1,12,0.97,1.661701735
1,1,3-Jan,NB,C,1,DAY1,13,0.964,1.354473044
1,1,3-Jan,NB,C,1,DAY1,14,0.94,1.376845186
1,1,3-Jan,NB,C,1,DAY1,15,0.952,1.313774294
1,1,3-Jan,NB,C,1,DAY1,16,0.952,1.259426652
1,1,3-Jan,NB,C,1,DAY2,1,0.349,0.189704247
1,1,3-Jan,NB,C,1,DAY2,2,0.558,0.293339072
1,1,3-Jan,NB,C,1,DAY2,3,0.221,0.150310898
1,1,3-Jan,NB,C,1,DAY2,4,0.228,0.144213627
1,1,3-Jan,NB,C,1,DAY2,5,0.754,1.506018837
1,1,3-Jan,NB,C,1,DAY2,6,0.728,0.449887963
1,1,3-Jan,NB,C,1,DAY2,7,0.539,0.315163343
1,1,3-Jan,NB,C,1,DAY2,8,0.711,0.42472897
1,1,3-Jan,NB,C,1,DAY2,9,0.819,0.593220853
1,1,3-Jan,NB,C,1,DAY2,10,0.87,0.722493172
1,1,3-Jan,NB,C,1,DAY2,11,0.0788,0.073252315
1,1,3-Jan,NB,C,1,DAY2,12,0.44,0.245617279
1,1,3-Jan,NB,C,1,DAY2,13,0.842,0.645870756
1,1,3-Jan,NB,C,1,DAY2,14,0.92,0.900430605
1,1,3-Jan,NB,C,1,DAY2,15,0.931,0.907619207
1,1,3-Jan,NB,C,1,DAY2,16,0.932,1.035502557
1,1,3-Jan,NB,C,1,DAY2,17,0.942,1.043851895
1,1,3-Jan,NB,C,1,DAY2,18,0.956,1.214235548
1,1,3-Jan,NB,C,1,DAY2,19,0.829,0.601668211
1,1,3-Jan,NB,C,1,DAY2,20,0.958,1.184782868
1,1,3-Jan,NB,C,1,DAY2,21,0.153,0.113142346
1,1,3-Jan,NB,C,1,DAY2,22,0.42,0.251902336
1,1,3-Jan,NB,C,1,DAY2,23,0.866,0.698801489
1,1,3-Jan,NB,C,1,DAY2,24,0.912,0.91014111
1,1,3-Jan,NB,C,1,DAY2,25,0.798,0.611292239
1,1,3-Jan,NB,C,1,DAY2,26,0.87,0.727607757
1,1,3-Jan,NB,C,1,DAY2,27,0.79,0.626171238
1,1,3-Jan,NB,C,1,DAY2,28,0.84,0.678775744
1,1,3-Jan,NB,C,1,DAY2,29,0.838,0.64406902
1,1,3-Jan,NB,C,1,DAY2,30,0.9,0.846106999
1,1,3-Jan,NB,C,1,DAY2,31,0.694,0.441908395
1,1,3-Jan,NB,C,1,DAY2,32,0.902,0.859476089
1,1,3-Jan,NB,C,1,DAY2,33,0.142,0.101966918
1,1,3-Jan,NB,C,1,DAY2,34,0.498,0.258965368
1,1,3-Jan,NB,C,1,DAY2,35,0.00373,-0.01697083
1,1,3-Jan,NB,C,1,DAY2,36,0.37,0.213217444
1,1,3-Jan,NB,C,1,DAY2,37,0.167,0.129501219
1,1,3-Jan,NB,C,1,DAY2,38,0.321,0.180087881
1,1,3-Jan,NB,C,1,DAY2,39,0.761,0.557610329
1,1,3-Jan,NB,C,1,DAY2,40,0.318,0.18752668
1,1,3-Jan,NB,C,1,DAY2,41,0.711,0.401500668
1,1,3-Jan,NB,C,1,DAY2,42,0.777,0.577664377
1,1,3-Jan,NB,C,1,DAY2,43,0.444,0.275207461
1,1,3-Jan,NB,C,1,DAY2,44,0.659,0.403327786
1,1,3-Jan,NB,C,1,DAY2,45,0.182,0.130948635
1,1,3-Jan,NB,C,1,DAY2,46,0.0668,0.074238034
1,1,3-Jan,NB,C,1,DAY2,47,0.016,0.169432986
1,1,3-Jan,NB,C,1,DAY2,48,0.0241,0.036799551
1,1,3-Jan,NB,C,1,DAY2,49,0.0751,0.07624812
1,1,3-Jan,NB,C,1,DAY2,50,0.254,0.150622749
1,1,3-Jan,NB,C,1,DAY2,51,0.0631,-0.07356415
1,1,3-Jan,NB,C,1,NIGHT1,1,0.988,-3.369528497
1,1,3-Jan,NB,C,1,NIGHT1,2,0.99,-3.290850441
1,1,3-Jan,NB,C,1,NIGHT1,3,0.992,-3.572699084
1,1,3-Jan,NB,C,1,NIGHT1,4,0.993,-3.195944468
1,1,3-Jan,NB,C,1,NIGHT1,5,0.994,-3.346211301
1,1,3-Jan,NB,C,1,NIGHT1,6,0.976,-3.009791984
1,1,3-Jan,NB,C,1,NIGHT1,7,0.985,-2.99850982
1,1,3-Jan,NB,C,1,NIGHT1,8,0.988,-2.660576049
1,1,3-Jan,NB,C,1,NIGHT1,9,0.989,-2.929310392
1,1,3-Jan,NB,C,1,NIGHT1,10,0.988,-2.635367574
1,1,3-Jan,NB,C,1,NIGHT1,11,0.987,-3.069819859
1,1,3-Jan,NB,C,1,NIGHT1,12,0.985,-3.047455409
1,1,3-Jan,NB,C,1,NIGHT1,13,0.993,-3.650452013
1,1,3-Jan,NB,C,1,NIGHT1,14,0.992,-3.405992483
1,1,3-Jan,NB,C,1,NIGHT1,15,0.994,-3.29822189
1,1,3-Jan,NB,C,1,NIGHT1,16,0.99,-2.99373281
1,1,3-Jan,NB,C,1,NIGHT1,17,0.995,-3.608368444
1,1,3-Jan,NB,C,1,NIGHT1,18,0.994,-3.52585966
1,1,3-Jan,NB,C,1,NIGHT1,19,0.989,-2.868137046
1,1,3-Jan,NB,C,1,NIGHT1,20,0.996,-3.462631964
1,1,3-Jan,NB,C,1,NIGHT1,21,0.994,-3.663983375
1,1,3-Jan,NB,C,1,NIGHT1,22,0.995,-3.564667736
1,1,3-Jan,NB,C,1,NIGHT1,23,0.982,-2.798973647
1,1,3-Jan,NB,C,1,NIGHT1,24,0.995,-3.598823375
1,1,3-Jan,NB,C,1,NIGHT1,25,0.992,-3.46831972
1,1,3-Jan,NB,C,1,NIGHT1,26,0.989,-2.586030462
1,1,3-Jan,NB,C,1,NIGHT1,27,0.988,-2.265835028
1,1,3-Jan,NB,C,1,NIGHT1,28,0.988,-2.487896535
1,1,3-Jan,NB,C,1,NIGHT1,29,0.986,-2.215292198
1,1,3-Jan,NB,C,1,NIGHT1,30,0.989,-2.292750377
1,1,3-Jan,NB,C,1,NIGHT1,31,0.992,-2.640856931
1,1,3-Jan,NB,C,1,NIGHT1,32,0.991,-2.536762554
1,1,3-Jan,NB,C,1,NIGHT1,33,0.989,-2.531842423
1,1,3-Jan,NB,C,1,NIGHT1,34,0.988,-2.530675215
1,1,3-Jan,NB,C,1,NIGHT1,35,0.994,-3.303488465
1,1,3-Jan,NB,C,1,NIGHT1,36,0.99,-2.478031514
1,1,3-Jan,NB,C,1,NIGHT1,37,0.988,-2.627008164
1,1,3-Jan,NB,C,1,NIGHT1,38,0.991,-2.628820348
1,1,3-Jan,NB,C,1,NIGHT1,39,0.989,-2.564271169
1,1,3-Jan,NB,C,1,NIGHT1,40,0.989,-2.623145442
1,1,3-Jan,NB,C,1,NIGHT1,41,0.989,-2.476398166
1,1,3-Jan,NB,C,1,NIGHT1,42,0.994,-3.195654817
1,1,3-Jan,NB,C,1,NIGHT1,43,0.992,-2.701189521
1,1,3-Jan,NB,C,1,NIGHT1,44,0.991,-2.624412041
1,1,3-Jan,NB,C,1,NIGHT1,45,0.985,-2.539948806
1,1,3-Jan,NB,C,1,NIGHT1,46,0.991,-2.718372869
1,1,3-Jan,NB,C,1,NIGHT1,47,0.989,-2.611220281
